Channel,Feature,Comparison,AUC,Optimal_Threshold,Sensitivity,Specificity
Red,Amplitude,Normal vs Ischaemia,0.0,inf,0.0,1.0
Red,Amplitude,Normal vs Congestion,0.2677777777777777,0.002701286058251172,0.9666666666666667,0.06666666666666665
Red,Amplitude,Ischaemia vs Congestion,1.0,0.002414342680598149,1.0,1.0
Red,AUC,Normal vs Ischaemia,0.008888888888888887,inf,0.0,1.0
Red,AUC,Normal vs Congestion,0.3888888888888888,3.5099212973701928,0.2,0.8666666666666667
Red,AUC,Ischaemia vs Congestion,0.9911111111111112,2.4240064285171465,0.9,1.0
Red,S_AUC,Normal vs Ischaemia,0.46888888888888886,1.479164746328706,0.4666666666666667,0.6333333333333333
Red,S_AUC,Normal vs Congestion,0.5716666666666667,2.3157588482175173,0.5,0.6666666666666667
Red,S_AUC,Ischaemia vs Congestion,0.6288888888888889,2.6463358326996733,0.43333333333333335,1.0
Red,D_AUC,Normal vs Ischaemia,0.2822222222222222,inf,0.0,1.0
Red,D_AUC,Normal vs Congestion,0.3761111111111111,inf,0.0,1.0
Red,D_AUC,Ischaemia vs Congestion,0.6155555555555555,2.421217264394834,0.4666666666666667,1.0
Red,AUC_Ratio,Normal vs Ischaemia,0.5,inf,0.0,1.0
Red,AUC_Ratio,Normal vs Congestion,0.5,inf,0.0,1.0
Red,AUC_Ratio,Ischaemia vs Congestion,0.5,inf,0.0,1.0
Red,Start_Datum_Area,Normal vs Ischaemia,0.0,inf,0.0,1.0
Red,Start_Datum_Area,Normal vs Congestion,0.33444444444444443,1.0402445419680895,0.9333333333333333,0.09999999999999998
Red,Start_Datum_Area,Ischaemia vs Congestion,1.0,0.9239861028756168,1.0,1.0
Red,End_Datum_Area,Normal vs Ischaemia,0.12555555555555556,inf,0.0,1.0
Red,End_Datum_Area,Normal vs Congestion,0.3566666666666667,0.7792266082369442,0.2,0.8333333333333334
Red,End_Datum_Area,Ischaemia vs Congestion,0.8522222222222222,0.4422997030906887,1.0,0.7666666666666666
Red,Datum_Area_Ratio,Normal vs Ischaemia,0.49,2.26752476797877,0.26666666666666666,0.9333333333333333
Red,Datum_Area_Ratio,Normal vs Congestion,0.5611111111111111,2.1075205835550133,0.5,0.6666666666666667
Red,Datum_Area_Ratio,Ischaemia vs Congestion,0.5466666666666666,1.8189156823615704,0.8,0.3666666666666667
Red,Max_Start_Datum_Diff,Normal vs Ischaemia,0.001111111111111111,inf,0.0,1.0
Red,Max_Start_Datum_Diff,Normal vs Congestion,0.26999999999999996,0.0023750613612512237,1.0,0.033333333333333326
Red,Max_Start_Datum_Diff,Ischaemia vs Congestion,1.0,0.0023750613612512237,1.0,1.0
IR,Amplitude,Normal vs Ischaemia,0.0,inf,0.0,1.0
IR,Amplitude,Normal vs Congestion,0.0,inf,0.0,1.0
IR,Amplitude,Ischaemia vs Congestion,0.2922222222222222,0.0030885365390521946,0.16666666666666666,1.0
IR,AUC,Normal vs Ischaemia,0.0,inf,0.0,1.0
IR,AUC,Normal vs Congestion,0.0,inf,0.0,1.0
IR,AUC,Ischaemia vs Congestion,0.39333333333333337,3.2156949547155484,0.2,0.9666666666666667
IR,S_AUC,Normal vs Ischaemia,0.3733333333333333,inf,0.0,1.0
IR,S_AUC,Normal vs Congestion,0.40888888888888886,2.8418865035159255,0.5333333333333333,0.5333333333333333
IR,S_AUC,Ischaemia vs Congestion,0.53,2.8418865035159255,0.5333333333333333,0.6
IR,D_AUC,Normal vs Ischaemia,0.37333333333333335,2.09220242082086,0.6,0.4666666666666667
IR,D_AUC,Normal vs Congestion,0.34222222222222226,inf,0.0,1.0
IR,D_AUC,Ischaemia vs Congestion,0.4233333333333334,3.220642332279567,0.13333333333333333,1.0
IR,AUC_Ratio,Normal vs Ischaemia,0.5,inf,0.0,1.0
IR,AUC_Ratio,Normal vs Congestion,0.5,inf,0.0,1.0
IR,AUC_Ratio,Ischaemia vs Congestion,0.5,inf,0.0,1.0
IR,Start_Datum_Area,Normal vs Ischaemia,0.0,inf,0.0,1.0
IR,Start_Datum_Area,Normal vs Congestion,0.0,inf,0.0,1.0
IR,Start_Datum_Area,Ischaemia vs Congestion,0.4611111111111111,1.3443458212740018,0.23333333333333334,1.0
IR,End_Datum_Area,Normal vs Ischaemia,0.001111111111111111,inf,0.0,1.0
IR,End_Datum_Area,Normal vs Congestion,0.022222222222222216,inf,0.0,1.0
IR,End_Datum_Area,Ischaemia vs Congestion,0.9366666666666666,0.6115896801741518,0.8333333333333334,0.9666666666666667
IR,Datum_Area_Ratio,Normal vs Ischaemia,0.8588888888888889,2.1896822400723646,0.8,0.9333333333333333
IR,Datum_Area_Ratio,Normal vs Congestion,0.13333333333333333,inf,0.0,1.0
IR,Datum_Area_Ratio,Ischaemia vs Congestion,0.07555555555555554,1.8146655881699616,1.0,0.033333333333333326
IR,Max_Start_Datum_Diff,Normal vs Ischaemia,0.0,inf,0.0,1.0
IR,Max_Start_Datum_Diff,Normal vs Congestion,0.0,inf,0.0,1.0
IR,Max_Start_Datum_Diff,Ischaemia vs Congestion,0.2777777777777778,0.0030885365390521946,0.13333333333333333,1.0
