Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
Combined_PI_Ratio,3,Congestion,30,31,1.0000,,,0.5961,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,31,30,0,0
Combined_Amplitude_Ratio,3,Congestion,30,31,1.0000,,,0.8741,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,31,30,0,0
Combined_Delta_A_Ratio,3,Congestion,30,31,1.0000,,,0.5959,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,31,30,0,0
IR_DNP,3,Congestion,30,31,0.9957,,,0.5665,0.9355,1.0000,1.0000,0.9375,0.9672,0.9667,,0.0645,29,30,0,2
IR_RWI,3,Congestion,30,31,0.9957,,,0.5665,0.9355,1.0000,1.0000,0.9375,0.9672,0.9667,,0.0645,29,30,0,2
IR_SDPPG_e_a,3,Congestion,30,31,0.9871,,,0.2174,0.9032,1.0000,1.0000,0.9091,0.9508,0.9492,,0.0968,28,30,0,3
IR_Rise_Decay_Time_Ratio,3,Congestion,30,31,0.9516,,,0.2142,0.8387,1.0000,1.0000,0.8571,0.9180,0.9123,,0.1613,26,30,0,5
IR_Variance,3,Congestion,30,31,0.9366,,,0.1080,0.9355,1.0000,1.0000,0.9375,0.9672,0.9667,,0.0645,29,30,0,2
IR_Length_Height_Ratio,3,Congestion,30,31,0.9032,,,2.3228,0.8387,1.0000,1.0000,0.8571,0.9180,0.9123,,0.1613,26,30,0,5
IR_Rise_Time,3,Congestion,30,31,0.8968,,,0.1680,0.8710,0.9000,0.9000,0.8710,0.8852,0.8852,8.7097,0.1434,27,27,3,4
IR_SDPPG_c_a,3,Congestion,30,31,0.8516,,,0.2570,0.7419,0.8667,0.8519,0.7647,0.8033,0.7931,5.5645,0.2978,23,26,4,8
IR_PW50,3,Congestion,30,31,0.8038,,,0.5260,0.8387,0.8333,0.8387,0.8333,0.8361,0.8387,5.0323,0.1935,26,25,5,5
IR_Upslope_Length,3,Congestion,30,31,0.7376,,,1.0296,0.5484,1.0000,1.0000,0.6818,0.7705,0.7083,,0.4516,17,30,0,14
IR_Downslope_Length,3,Congestion,30,31,0.7376,,,1.3049,0.7097,1.0000,1.0000,0.7692,0.8525,0.8302,,0.2903,22,30,0,9
IR_AUC_Ratio,3,Congestion,30,31,0.6925,,,0.1972,0.5484,0.9333,0.8947,0.6667,0.7377,0.6800,8.2258,0.4839,17,28,2,14
IR_Downslope_Length_Ratio,3,Congestion,30,31,0.6699,,,0.5615,0.5484,0.9333,0.8947,0.6667,0.7377,0.6800,8.2258,0.4839,17,28,2,14
IR_Datum_Area_Ratio,3,Congestion,30,31,0.6043,,,4.4318,0.7742,0.4667,0.6000,0.6667,0.6230,0.6761,1.4516,0.4839,24,14,16,7
IR_Delta_T,3,Congestion,30,31,0.5968,,,0.0005,0.1935,1.0000,1.0000,0.5455,0.5902,0.3243,,0.8065,6,30,0,25
IR_SDPPG_b_a,3,Congestion,30,31,0.5817,,,-0.9555,0.3226,0.9667,0.9091,0.5800,0.6393,0.4762,9.6774,0.7008,10,29,1,21
Red_SDPPG_e_a,3,Congestion,30,31,0.5785,,,0.4819,0.4516,0.7667,0.6667,0.5750,0.6066,0.5385,1.9355,0.7153,14,23,7,17
Red_Downslope_Length_Ratio,3,Congestion,30,31,0.5667,,,0.5713,0.6774,0.5333,0.6000,0.6154,0.6066,0.6364,1.4516,0.6048,21,16,14,10
Red_Downslope_Length,3,Congestion,30,31,0.5656,,,1.3751,0.6452,0.5333,0.5882,0.5926,0.5902,0.6154,1.3825,0.6653,20,16,14,11
Red_DNP,3,Congestion,30,31,0.5656,,,0.6241,0.4839,0.7000,0.6250,0.5676,0.5902,0.5455,1.6129,0.7373,15,21,9,16
Red_Length_Height_Ratio,3,Congestion,30,31,0.5581,,,2.3447,0.9677,0.2667,0.5769,0.8889,0.6230,0.7229,1.3196,0.1210,30,8,22,1
Red_RWI,3,Congestion,30,31,0.5527,,,0.6241,0.4839,0.6667,0.6000,0.5556,0.5738,0.5357,1.4516,0.7742,15,20,10,16
Red_Width_Ratio,3,Congestion,30,31,0.5478,,,1.4986,0.5806,0.6333,0.6207,0.5938,0.6066,0.6000,1.5836,0.6621,18,19,11,13
Red_Variance,3,Congestion,30,31,0.5441,,,0.1045,0.3226,0.8667,0.7143,0.5532,0.5902,0.4444,2.4194,0.7816,10,26,4,21
Red_SDPPG_d_a,3,Congestion,30,31,0.5323,,,-0.3148,0.4194,0.8333,0.7222,0.5814,0.6230,0.5306,2.5161,0.6968,13,25,5,18
Red_Delta_T,3,Congestion,30,31,0.5237,,,0.1415,0.2258,0.9000,0.7000,0.5294,0.5574,0.3415,2.2581,0.8602,7,27,3,24
Red_Kurtosis,3,Congestion,30,31,0.5032,,,-0.9247,0.0968,1.0000,1.0000,0.5172,0.5410,0.1765,,0.9032,3,30,0,28
Red_Onset_End_Slope,3,Congestion,30,31,0.5022,,,-0.0832,1.0000,0.1000,0.5345,1.0000,0.5574,0.6966,1.1111,0.0000,31,3,27,0
Red_PW50,3,Congestion,30,31,0.4962,,,0.6450,0.0968,1.0000,1.0000,0.5172,0.5410,0.1765,,0.9032,3,30,0,28
Red_SDPPG_b_a,3,Congestion,30,31,0.4849,,,-1.1062,0.9355,0.1667,0.5370,0.7143,0.5574,0.6824,1.1226,0.3871,29,5,25,2
Red_Upslope,3,Congestion,30,31,0.4806,,,11.6834,0.2581,0.8667,0.6667,0.5306,0.5574,0.3721,1.9355,0.8561,8,26,4,23
IR_Onset_End_Slope,3,Congestion,30,31,0.4731,,,-0.0022,0.6774,0.4667,0.5676,0.5833,0.5738,0.6176,1.2702,0.6912,21,14,16,10
Red_Rise_Decay_Time_Ratio,3,Congestion,30,31,0.4720,,,0.4284,0.0968,0.9667,0.7500,0.5088,0.5246,0.1714,2.9032,0.9344,3,29,1,28
Red_IPAR,3,Congestion,30,31,0.4710,,,0.6081,0.3871,0.7000,0.5714,0.5250,0.5410,0.4615,1.2903,0.8756,12,21,9,19
Red_Fall_Time,3,Congestion,30,31,0.4704,,,0.7170,0.7419,0.3333,0.5349,0.5556,0.5410,0.6216,1.1129,0.7742,23,10,20,8
Red_AUC_Ratio,3,Congestion,30,31,0.4677,,,0.5599,0.0968,0.9667,0.7500,0.5088,0.5246,0.1714,2.9032,0.9344,3,29,1,28
Red_Upslope_Length,3,Congestion,30,31,0.4667,,,1.1154,0.1613,0.9333,0.7143,0.5185,0.5410,0.2632,2.4194,0.8986,5,28,2,26
Red_Datum_Area_Ratio,3,Congestion,30,31,0.4645,,,4.2326,0.2903,0.9000,0.7500,0.5510,0.5902,0.4186,2.9032,0.7885,9,27,3,22
Red_Pulse_Width,3,Congestion,30,31,0.4608,,,1.0020,0.1613,0.9000,0.6250,0.5094,0.5246,0.2564,1.6129,0.9319,5,27,3,26
Red_Systolic_Width,3,Congestion,30,31,0.4602,,,0.6010,0.1613,0.9000,0.6250,0.5094,0.5246,0.2564,1.6129,0.9319,5,27,3,26
Red_Diastolic_Width,3,Congestion,30,31,0.4602,,,0.4010,0.1613,0.9000,0.6250,0.5094,0.5246,0.2564,1.6129,0.9319,5,27,3,26
Red_SDPPG_c_a,3,Congestion,30,31,0.4516,,,0.2481,0.8065,0.2333,0.5208,0.5385,0.5246,0.6329,1.0519,0.8295,25,7,23,6
Red_Rise_Time,3,Congestion,30,31,0.4500,,,0.2755,0.1290,0.9667,0.8000,0.5179,0.5410,0.2222,3.8710,0.9010,4,29,1,27
Red_Slope_Ratio,3,Congestion,30,31,0.4473,,,2.6678,0.7097,0.4000,0.5500,0.5714,0.5574,0.6197,1.1828,0.7258,22,12,18,9
Red_Downslope,3,Congestion,30,31,0.4344,,,-3.8179,0.6129,0.4333,0.5278,0.5200,0.5246,0.5672,1.0816,0.8933,19,13,17,12
Red_Slope_Length_Ratio,3,Congestion,30,31,0.4333,,,1.0327,0.0645,1.0000,1.0000,0.5085,0.5246,0.1212,,0.9355,2,30,0,29
Red_Upslope_Length_Ratio,3,Congestion,30,31,0.4333,,,0.5080,0.0645,1.0000,1.0000,0.5085,0.5246,0.1212,,0.9355,2,30,0,29
IR_Width_Ratio,3,Congestion,30,31,0.4290,,,1.4980,0.9032,0.2333,0.5490,0.7000,0.5738,0.6829,1.1781,0.4147,28,7,23,3
Red_End_Datum_Area,3,Congestion,30,31,0.4280,,,0.2396,0.4839,0.5667,0.5357,0.5152,0.5246,0.5085,1.1166,0.9108,15,17,13,16
Red_D_AUC,3,Congestion,30,31,0.4172,,,3.0318,0.0323,1.0000,1.0000,0.5000,0.5082,0.0625,,0.9677,1,30,0,30
Red_Skewness,3,Congestion,30,31,0.4043,,,-0.4543,0.9032,0.1000,0.5091,0.5000,0.5082,0.6512,1.0036,0.9677,28,3,27,3
Red_S_AUC,3,Congestion,30,31,0.3946,,,0.6727,0.3226,0.7000,0.5263,0.5000,0.5082,0.4000,1.0753,0.9677,10,21,9,21
Red_Start_Datum_Area,3,Congestion,30,31,0.3742,,,0.6000,0.9032,0.1000,0.5091,0.5000,0.5082,0.6512,1.0036,0.9677,28,3,27,3
IR_Slope_Length_Ratio,3,Congestion,30,31,0.3301,,,0.8063,0.2581,0.9667,0.8889,0.5577,0.6066,0.4000,7.7419,0.7675,8,29,1,23
IR_Upslope_Length_Ratio,3,Congestion,30,31,0.3301,,,0.4464,0.2581,0.9667,0.8889,0.5577,0.6066,0.4000,7.7419,0.7675,8,29,1,23
Red_PI,3,Congestion,30,31,0.3075,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
Red_AUC,3,Congestion,30,31,0.2968,,,3.7046,0.0323,1.0000,1.0000,0.5000,0.5082,0.0625,,0.9677,1,30,0,30
Red_Amplitude,3,Congestion,30,31,0.2634,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
Red_Max_Start_Datum_Diff,3,Congestion,30,31,0.2473,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
